#,Section,Asset Name,Count,Width (px),Height (px),Aspect Ratio,Format,Required,Where to Upload (Admin Path → Field),AI Image Prompt (paste into DALL-E / Midjourney / Stable Diffusion),Style Notes
62,Store Badges,Apple App Store badge,1,120,40,3:1,PNG,Required,(public asset, copy from Apple guidelines),"Official Apple ''Download on the App Store'' badge in white or black variant per Apple guidelines. DO NOT redesign — use official asset from https://developer.apple.com/app-store/marketing/guidelines/","Official Apple badge."
63,Store Badges,Google Play badge,1,120,40,3:1,PNG,Required,(public asset, copy from Google guidelines),"Official Google ''Get it on Google Play'' badge per Google brand guidelines. DO NOT redesign. Source: https://play.google.com/intl/en_us/badges/","Official Google badge."
64,Email Templates,Order confirmation hero,1,600,200,3:1,JPG,Optional,(email template asset),"Warm celebratory email banner. Cream background with a single wrapped gift box (kraft + brand red ribbon) on the right third, soft confetti dust, gold sparkle accents. Left two-thirds empty cream for headline overlay. 3:1 aspect.","Single gift hero. Left clean."
65,Email Templates,Abandoned cart reminder,1,600,200,3:1,JPG,Optional,(email template asset),"Gentle reminder email banner. Cream background with a personalised photo frame on a small kraft table, with a subtle ''waiting for you'' visual cue (e.g. soft clock shadow or tied ribbon). Brand red accent. Left two-thirds clean. 3:1.","Soft reminder. Frame still-life."
66,Email Templates,Newsletter masthead,1,600,150,4:1,JPG,Optional,(email template asset),"Wide newsletter header. Brand maroon gradient with the Gifteeng wordmark in cream centred, scattered gold sparkles. 4:1 aspect.","Maroon + wordmark + sparkles."
67,Empty States,Empty cart illustration,1,800,600,4:3,SVG/PNG,Optional,(code: apps/web/app/b2c/cart/empty.svg),"Friendly minimal illustration: an empty kraft gift box with a small dried flower stem inside, drawn in a single-line vector style with brand red and cream accents. Caption-friendly composition. 4:3 aspect, SVG preferred.","Single-line vector. Brand red + cream."
68,Empty States,No search results illustration,1,800,600,4:3,SVG/PNG,Optional,(code: apps/web/app/b2c/search/empty.svg),"Friendly illustration: a magnifying glass over a kraft gift box, single-line vector, brand red + cream. 4:3 SVG.","Magnifying glass + gift box."
69,Empty States,404 page illustration,1,800,600,4:3,SVG/PNG,Optional,(code: apps/web/app/b2c/not-found.tsx asset),"Playful illustration: a gift box with a confused expression (eyes only, no full face), tilted ribbon. Single-line vector, brand red + cream. 4:3 SVG.","Cute confused gift box."
70,Empty States,Empty wishlist illustration,1,800,600,4:3,SVG/PNG,Optional,(code: apps/web/app/b2c/account/wishlist asset),"Single-line vector of an outlined heart with a small kraft tag, brand red. 4:3 SVG.","Outlined heart + tag."
71,Empty States,Empty orders illustration,1,800,600,4:3,SVG/PNG,Optional,(code: apps/web/app/b2c/orders/empty asset),"Single-line vector of a delivery package outline with a small ''0'' counter, brand red. 4:3 SVG.","Package + zero counter."
72,Footer & Chrome,Footer logo (wordmark light),1,360,120,3:1,SVG/PNG,Required,(code: apps/web/public/logo-light.svg),"Gifteeng wordmark in white/cream for use on dark footer. Plus Jakarta Sans bold or custom logotype. Transparent background. 360x120 SVG.","Wordmark on transparent."
73,Footer & Chrome,Footer logo (wordmark dark),1,360,120,3:1,SVG/PNG,Required,(code: apps/web/public/logo-dark.svg),"Gifteeng wordmark in brand red #EF3752 for use on light surfaces. Transparent background. 360x120 SVG.","Wordmark red on transparent."
74,Footer & Chrome,Payment badge — Razorpay,1,160,80,2:1,PNG (transparent),Optional,(code: apps/web/public/payments/razorpay.png),"Official Razorpay logo PNG with transparent background. DO NOT redesign — use the official asset from Razorpay press kit.","Official Razorpay logo."
75,Footer & Chrome,Payment badge — UPI,1,160,80,2:1,PNG (transparent),Optional,(code: apps/web/public/payments/upi.png),"Official UPI logo PNG with transparent background.","Official UPI logo."
76,Footer & Chrome,Payment badge — Visa,1,160,80,2:1,PNG (transparent),Optional,(code: apps/web/public/payments/visa.png),"Official Visa logo PNG with transparent background.","Official Visa logo."
77,Footer & Chrome,Payment badge — Mastercard,1,160,80,2:1,PNG (transparent),Optional,(code: apps/web/public/payments/mastercard.png),"Official Mastercard logo PNG with transparent background.","Official Mastercard logo."
78,Footer & Chrome,Payment badge — COD pill,1,160,80,2:1,SVG/PNG,Optional,(code: apps/web/public/payments/cod.svg),"Simple ''Cash on Delivery'' or ''COD'' pill badge in brand red on cream, rounded rectangle. 160x80 SVG.","Custom COD pill, brand red."
79,Footer & Chrome,Social icon — Instagram,1,64,64,1:1,SVG,Optional,(code: apps/web/public/social/instagram.svg),"Official Instagram glyph in brand red #EF3752 on transparent background.","Official glyph, brand red."
80,Footer & Chrome,Social icon — Facebook,1,64,64,1:1,SVG,Optional,(code: apps/web/public/social/facebook.svg),"Official Facebook ''f'' glyph in brand red #EF3752 on transparent background.","Official glyph, brand red."
81,Footer & Chrome,Social icon — Twitter/X,1,64,64,1:1,SVG,Optional,(code: apps/web/public/social/twitter.svg),"Official X (Twitter) glyph in brand red #EF3752 on transparent background.","Official glyph, brand red."
82,Footer & Chrome,Social icon — LinkedIn,1,64,64,1:1,SVG,Optional,(code: apps/web/public/social/linkedin.svg),"Official LinkedIn ''in'' glyph in brand red #EF3752 on transparent background.","Official glyph, brand red."
83,Footer & Chrome,Social icon — Pinterest,1,64,64,1:1,SVG,Optional,(code: apps/web/public/social/pinterest.svg),"Official Pinterest ''P'' glyph in brand red #EF3752 on transparent background.","Official glyph, brand red."
84,Stickers / Album,Sticker pack — Birthday (seed),10,512,512,1:1,PNG (transparent),Optional,/super-admin/stickers → Sticker upload,"10 transparent-PNG stickers themed birthday: balloon bunch, single balloon, birthday hat, cupcake, candle, gift box, confetti burst, party horn, cake slice, sparkle star. Each 512x512 with transparency. Consistent flat illustrated style, brand palette accents.","Consistent pack style across 10."
85,Stickers / Album,Sticker pack — Love (seed),10,512,512,1:1,PNG (transparent),Optional,/super-admin/stickers → Sticker upload,"10 transparent-PNG love-themed stickers: heart, double heart, rose, arrow heart, kiss mark, love letter, ribbon bow, gift heart, sparkle heart, ''xoxo'' word art. Each 512x512.","Consistent pack style."
86,Stickers / Album,Sticker pack — Wedding (seed),10,512,512,1:1,PNG (transparent),Optional,/super-admin/stickers → Sticker upload,"10 wedding-themed stickers: ring pair, bouquet, wedding cake, ''Just Married'' banner, garland, dove, diya, mehendi swirl, mangalsutra motif, shehnai. Each 512x512 PNG transparent.","Indian + universal wedding mix."
87,Stickers / Album,Sticker pack — Festive (seed),10,512,512,1:1,PNG (transparent),Optional,/super-admin/stickers → Sticker upload,"10 festive Indian stickers: diya, rangoli pattern, marigold garland, firecracker, lantern, Lakshmi feet, swastika, OM, sweet box, gold coin. Each 512x512 PNG transparent.","Indian festive iconography."
88,Stock-image Library,Stock template — Birthday flat-lay,5,1200,1200,1:1,JPG,Optional,/super-admin/stock-images → Stock image,"Birthday-themed flat-lay stock photos for use as customisation backdrops. Cream / pastel / muted festive variants. 1200x1200 JPG.","5 variants, square, cream-friendly."
89,Stock-image Library,Stock template — Floral wreaths,5,1200,1200,1:1,PNG (transparent),Optional,/super-admin/stock-images → Stock image,"Botanical wreath frames on transparent background, 5 variants (rose, eucalyptus, marigold, lavender, mixed). 1200x1200 PNG transparent.","Drag-and-drop wreaths."
90,Stock-image Library,Stock template — Geometric borders,5,1200,1200,1:1,PNG (transparent),Optional,/super-admin/stock-images → Stock image,"Decorative geometric border frames on transparent background, 5 variants (art-deco gold, minimal black, dotted, scalloped, hexagon). 1200x1200 PNG transparent.","Drag-and-drop frames."
